PROGR;REGIONE;ID SCHEDA;PROVINCIA;COMUNE;LOCALITÀ;LATITUDINE SU GIS;LONGITUDINE SU GIS;ALTITUDINE (m s.l.m.);CONTESTO URBANO;SPECIE NOME SCIENTIFICO;SPECIE NOME VOLGARE;CIRCONFERENZA FUSTO (cm);ALTEZZA (m);CRITERI DI MONUMENTALITÀ;PROPOSTA DICHIARAZIONE NOTEVOLE INTERESSE PUBBLICO
34;TRENTO;01/E288/TN/22;Trento;Imer;Solan Grande;46° 08' 56,59'';11° 46' 11,1'';1005;no;Fagus sylvatica L.;Faggio;325-275-225;23,0;"a) eta` e/o dimensioni
f) pregio paesaggistico
g) valore storico, culturale, religioso";no
35;TRENTO;01/M313/TN/22;Trento;Ledro;Malga Valesina - Val Lorina;45° 48' 53,35'';10° 38' 31,66'';1210;no;Insieme omogeneo di Acer pseudoplatanus L.;Acero di monte;"523 (med)
550 (max)";"28,0 (med)
30,0 (max)";"a) eta` e/o dimensioni
c) valore ecologico";no
36;TRENTO;02/E565/TN/22;Trento;Levico Terme;Malga Costo di Sopra;45° 58' 10,17'';11° 22' 02,34'';1670;no;Picea abies (L.) H. Karst.;Abete rosso;560;34,0;"a) eta` e/o dimensioni
b) forma e portamento
c) valore ecologico
g) valore storico, culturale, religioso";no
37;TRENTO;01/M357/TN/22;Trento;Madruzzo;Lago di Toblino;46° 03' 27,97'';10° 58' 12,73'';245;no;Insieme omogeneo di Taxodium distichum (L.) Rich;Cipresso calvo;"390 (med)
470 (max)";"30,0 (med)
33,0 (max)";"a) eta` e/o dimensioni
d) rarita` botanica
f) pregio paesaggistico";no
38;TRENTO;01/F176/TN/22;Trento;Mezzano;Val Carbonere - Val Noana;46° 7' 44,65'';11° 50' 37,07'';1150;no;Taxus baccata L.;Tasso;381;14,0;"a) eta` e/o dimensioni
c) valore ecologico";no
39;TRENTO;02/F176/TN/22;Trento;Mezzano;Bosco Pietena;46° 07' 55,58'';11° 52' 17,85'';1337;no;Abies alba Mill.;Abete bianco;400;43,0;"a) eta` e/o dimensioni
c) valore ecologico";no
40;TRENTO;02/F183/TN/22;Trento;Mezzocorona;Palazzo Martini - Via Dante 8;46° 12' 57,4'';11° 7' 0,59'';215;si`;Quercus robur L.;Farnia;443;26,0;"a) eta` e/o dimensioni
c) valore ecologico
f) pregio paesaggistico";no
41;TRENTO;01/F835/TN/22;Trento;Nago-Torbole;La Gorte - Busatte;45° 52' 06,23'';10° 53' 04,68'';230;no;Olea europaea L.;Olivo;257-229;7,0;"a) eta` e/o dimensioni
f) pregio paesaggistico";no
42;TRENTO;02/F835/TN/22;Trento;Nago-Torbole;Selva;45° 49' 28,89'';10° 52' 42,47'';1150;no;Fagus sylvatica L.;Faggio;526;27,0;"a) eta` e/o dimensioni
c) valore ecologico
g) valore storico, culturale, religioso";no
43;TRENTO;02/G419/TN/22;Trento;Peio;Val Taviela - Sentiero dei Tedeschi;46° 22' 26,2'';10° 38' 43,99'';2202;no;Larix decidua Mill.;Larice;444;14,0;"a) eta` e/o dimensioni
b) forma e portamento
c) valore ecologico
g) valore storico, culturale, religioso";no
44;TRENTO;06/G419/TN/22;Trento;Peio;Cavaion;46° 24' 40,5'';10° 42' 14,28'';2135;no;Larix decidua Mill.;Larice;456;25,0;"a) eta` e/o dimensioni
g) valore storico, culturale, religioso";no
45;TRENTO;07/G419/TN/22;Trento;Peio;Malga Val Comasine;46° 19' 55,82'';10° 39' 53,17'';2180;no;Insieme omogeneo di Larix decidua Mill.;Larice;"270 (med)
443 (max)";"21,0 (med)
28,0 (max)";"a) eta` e/o dimensioni
c) valore ecologico
f) pregio paesaggistico
g) valore storico, culturale, religioso";no
46;TRENTO;01/G428/TN/22;Trento;Pellizzano;Doss De Artuich;46° 16' 30,36'';10° 46' 39,21'';2050;no;Pinus cembra L.;Pino cembro;465;22,0;"a) eta` e/o dimensioni
f) pregio paesaggistico";no
47;TRENTO;02/G452/TN/22;Trento;Pergine Valsugana;Mas dei Boci;46° 05' 57,19'';11° 15' 18,87'';1130;no;Fagus sylvatica L.;Faggio;513-355;27,0;"a) eta` e/o dimensioni
b) forma e portamento
c) valore ecologico
f) pregio paesaggistico
g) valore storico, culturale, religioso";no
48;TRENTO;01/G656/TN/22;Trento;Pieve Tesino;Villa Daziaro;46° 03' 56,15'';11° 37' 04,96'';818;si`;Insieme omogeneo di Ulmus glabra Huds.;Olmo montano;"454 (med)
526 (max)";"41,5 (med)
43,0 (max)";"a) eta` e/o dimensioni
c) valore ecologico
f) pregio paesaggistico";no
49;TRENTO;01/H018/TN/22;Trento;Predazzo;Coste;46° 18' 50,47'';11° 35' 18,49'';1320;no;Picea abies (L.) H. Karst.;Abete rosso;488;40,0;"a) eta` e/o dimensioni
b) forma e portamento";no
50;TRENTO;01/M359/TN/22;Trento;Primiero San Martino di Castrozza;Busa Ferrari - Passo Rolle;46° 17' 36,08'';11° 46' 55,37'';1915;no;Picea abies (L.) H. Karst.;Abete rosso;261;28,5;"b) forma e portamento
g) valore storico, culturale, religioso";no
51;TRENTO;02/H146/TN/22;Trento;Rabbi;Val Maleda;46° 24' 21,74'';10° 45' 07,88'';1925;no;Larix decidua Mill.;Larice;475;33,0;"a) eta` e/o dimensioni
b) forma e portamento
c) valore ecologico";no
52;TRENTO;04/H146/TN/22;Trento;Rabbi;Saent;46° 26' 37,76'';10° 45' 53,78'';1850;no;Insieme omogeneo di Picea abies (L.) H. Karst. e  Larix decidua Mill.;Abete rosso e Larice;"333 (med)
482 (max)
356 (med)
408 (max)";"30,0 (med)
34,0 (max)
24,0 (med)
33,0 (max)";"a) eta` e/o dimensioni
b) forma e portamento
c) valore ecologico
f) pregio paesaggistico";no
53;TRENTO;01/H330/TN/22;Trento;Riva del Garda;Lungolago Spiaggia Sabbioni;45° 52' 54,36'';10° 50' 53,74'';65;si`;Platanus acerifolia (Aiton) Willd.;Platano comune;450;25,0;a) eta` e/o dimensioni;no
54;TRENTO;01/H532/TN/22;Trento;Ronchi Valsugana;Buse dei Sassi;46° 04' 30,07'';11° 25' 37,15'';1183;no;Fagus sylvatica L.;Faggio;550;14,0;"a) eta` e/o dimensioni
b) forma e portamento";no
55;TRENTO;01/H607/TN/22;Trento;Roverè della Luna;Pradestél;46° 16' 26,19'';11° 09' 04,86'';950;no;Ilex aquifolium L.;Agrifoglio;135-78;11,0;"a) eta` e/o dimensioni
b) forma e portamento";no
56;TRENTO;01/M345/TN/22;Trento;San Lorenzo Dorsino;Malga Ceda di Villa;46° 08' 30,81'';10° 56' 37,17'';1400;no;Insieme omogeneo di Fagus sylvatica L.;Faggio;"338 (med)
485 (max)";"25,0 (med)
27,0 (max)";"a) eta` e/o dimensioni
f) pregio paesaggistico";no
57;TRENTO;01/I899/TN/22;Trento;Spiazzo;Malga Bedole;46° 11' 49,43'';10° 36' 10,46'';1580;no;Larix decidua Mill.;Larice;436;20,0;"a) eta` e/o dimensioni
c) valore ecologico";no
58;TRENTO;03/I964/TN/22;Trento;Storo;Sotto Villo;45° 51' 06,52'';10° 33' 32,82'';410;no;Castanea sativa Mill.;Castagno;550;19,0;"a) eta` e/o dimensioni
c) valore ecologico";no
59;TRENTO;01/L089/TN/22;Trento;Telve;Parise;46° 04' 36,36'';11° 27' 52,55'';705;no;Castanea sativa Mill.;Castagno;728;23,0;"a) eta` e/o dimensioni
f) pregio paesaggistico
g) valore storico, culturale, religioso";no
60;TRENTO;01/L147/TN/22;Trento;Tesero;Avezi;46° 16' 20,81'';11° 31' 40,62'';1180;no;Abies alba Mill.;Abete bianco;445;40,0;"a) eta` e/o dimensioni
c) valore ecologico
g) valore storico, culturale, religioso";no
61;TRENTO;01/L174/TN/22;Trento;Tione di Trento;Malga Stabio;46° 01' 04,57'';10° 46' 29,94'';1480;no;Insieme omogeneo di Fagus sylvatica L.;Faggio;"572 (med)
800 (max)";"20,0 (med)
21,5 (max)";"a) eta` e/o dimensioni
b) forma e portamento
c) valore ecologico
f) pregio paesaggistico
g) valore storico, culturale, religioso";no
62;TRENTO;01/L211/TN/22;Trento;Torcegno;Campestrini;46° 04' 39,04'';11° 27' 18,76'';785;no;Insieme omogeneo di Castanea sativa Mill.;Castagno;"541 (med)
640 (max)";"19,0 (med)
21,0 (max)";a) eta` e/o dimensioni;no
63;TRENTO;02/L378/TN/22;Trento;Trento;Povo - Ex-Villa Thun - Piazza Manci 15;46° 3' 57,59'';11° 9' 18,95'';405;si`;Sequoiadendron giganteum (Lindl.) J. Buchholz;Sequoia gigante;642;34,0;"a) eta` e/o dimensioni
f) pregio paesaggistico";no
64;TRENTO;04/L378/TN/22;Trento;Trento;Maderno - Villa Maria;46° 05' 24,03'';11° 08' 25,12'';488;si`;Aesculus hippocastanum L.;Ippocastano;504;19,5;"a) eta` e/o dimensioni
c) valore ecologico
f) pregio paesaggistico";no
65;TRENTO;05/L378/TN/22;Trento;Trento;Povo - Villa Lubich;46° 03' 59,72'';11° 09' 36,97'';455;si`;Sequoiadendron giganteum (Lindl.) J. Buchholz;Sequoia gigante;617;30,0;"a) eta` e/o dimensioni
c) valore ecologico
f) pregio paesaggistico";no
66;TRENTO;06/L378/TN/22;Trento;Trento;P. Sso Cimirlo - Casare;46° 3' 53,37'';11° 11' 11,85'';790;no;Prunus avium L.;Ciliegio selvatico;359;26,5;"a) eta` e/o dimensioni
c) valore ecologico
f) pregio paesaggistico";no
67;TRENTO;08/L378/TN/22;Trento;Trento;Malga Brigolina;46° 03' 35,46'';11° 03' 42,41'';943;no;Fagus sylvatica L.;Faggio;465;17,0;"a) eta` e/o dimensioni
c) valore ecologico
f) pregio paesaggistico";no
68;TRENTO;09/L378/TN/22;Trento;Trento;Parco Gocciadoro - Via Hermann Gmeiner 25;46° 3' 31,34'';11° 8' 18,49'';275;si`;Cedrus deodara (D.Don) G.Don;Cedro dell'Himalaya;525;30,0;"a) eta` e/o dimensioni
g) valore storico, culturale, religioso";no
69;TRENTO;11/L378/TN/22;Trento;Trento;Cortesano - Salita ai Spiazzi;46° 7' 25,99'';11° 8' 2,82'';570;si`;Celtis australis L.;Bagolaro;410;10,0;"a) eta` e/o dimensioni
b) forma e portamento
g) valore storico, culturale, religioso";no
70;TRENTO;12/L378/TN/22;Trento;Trento;Maderno - Via dei Bergamini 12;46° 5' 17,24'';11° 8' 25,42'';485;si`;Tilia cordata Mill.;Tiglio selvatico;440;28,0;"a) eta` e/o dimensioni
c) valore ecologico
f) pregio paesaggistico";no
71;TRENTO;13/L378/TN/22;Trento;Trento;Largo Pigarelli;46° 3' 57,41'';11° 7' 31,16'';199;si`;Populus nigra L.;Pioppo nero;570;28,0;a) eta` e/o dimensioni;no
72;TRENTO;14/L378/TN/22;Trento;Trento;Via San Francesco;46° 3' 58,39'';11° 7' 32,7'';199;si`;Insieme omogeneo di Platanus acerifolia (Aiton) Willd.;Platano comune;"510 (med)
550 (max)";"28,0 (med)
34,0 (max)";"a) eta` e/o dimensioni
f) pregio paesaggistico";no
73;TRENTO;15/L378/TN/22;Trento;Trento;Giardino Martino Martini - Via Santa Croce;46° 3' 47,15'';11° 7' 25,53'';205;si`;Platanus acerifolia (Aiton) Willd.;Platano comune;590;28,0;a) eta` e/o dimensioni;no
74;TRENTO;16/L378/TN/22;Trento;Trento;Liceo Scientifico da Vinci - Via Madruzzo 28;46° 3' 48,5'';11° 7' 14'';198;si`;Cedrus deodara (D.Don) G.Don;Cedro dell'Himalaya;482;25,0;"a) eta` e/o dimensioni
g) valore storico, culturale, religioso";no
75;TRENTO;17/L378/TN/22;Trento;Trento;Villa O'Santissima - Via G. Ferrandi;46° 2' 33,2'';11° 8' 16,06'';276;si`;Sequoiadendron giganteum (Lindl.) J. Buchholz;Sequoia gigante;590;32,0;"a) eta` e/o dimensioni
g) valore storico, culturale, religioso";no
76;TRENTO;18/L378/TN/22;Trento;Trento;Via Torre Verde - Via Romagnosi;46° 4' 20,88'';11° 7' 27,44'';196;si`;Insieme omogeneo di Platanus acerifolia (Aiton) Willd.;Platano comune;"320 (med)
650 (max)";"24,0 (med)
27,0 (max)";"a) eta` e/o dimensioni
f) pregio paesaggistico
g) valore storico, culturale, religioso";no
77;TRENTO;19/L378/TN/22;Trento;Trento;Via Vannetti 28;46° 4' 21,52'';11° 7' 17,09'';191;si`;Platanus acerifolia (Aiton) Willd.;Platano comune;565;23,0;"a) eta` e/o dimensioni
g) valore storico, culturale, religioso";no
78;TRENTO;20/L378/TN/22;Trento;Trento;Frazione Sardagna, Loc. Castagnara;46° 3' 44,53'';11° 5' 21,21'';807;no;Castanea sativa Mill.;Castagno;550;10,0;"a) eta` e/o dimensioni
c) valore ecologico
g) valore storico, culturale, religioso";no
79;TRENTO;21/L378/TN/22;Trento;Trento;Vela - Via alla Scala 4;46° 4' 40,65'';11° 6' 8,01'';212;si`;Cedrus libani A.Richard;Cedro del Libano;499;27,0;"a) eta` e/o dimensioni
f) pregio paesaggistico";no
80;TRENTO;22/L378/TN/22;Trento;Trento;Giardino di Piazza Dante;46° 4' 19,11'';11° 7' 16,23'';191;si`;Ulmus glabra Huds.;Olmo montano;500;30,5;"a) eta` e/o dimensioni
g) valore storico, culturale, religioso";no
81;TRENTO;23/L378/TN/22;Trento;Trento;Giardino Maso Ginocchio - Via Giusti;46° 3' 32,18'';11° 7' 5,43'';191;si`;Ulmus minor Mill.;Olmo campestre;393;26,0;a) eta` e/o dimensioni;no
82;TRENTO;24/L378/TN/22;Trento;Trento;Giardino Storico Villa De Mersi;46° 2' 54,65'';11° 8' 41,83'';340;si`;Insieme omogeneo di Cupressus sempervirens L.;Cipresso comune;"260 (med)
370 (max)";"22,0 (med)
30,0 (max)";"e) architettura vegetale
f) pregio paesaggistico
g) valore storico, culturale, religioso";no
83;TRENTO;02/M343/TN/22;Trento;Valdaone;Prà del Vittorio;45° 58' 04,28'';10° 32' 17,05'';1440;no;Picea abies (L.) H. Karst.;Abete rosso;520;36,0;"a) eta` e/o dimensioni
c) valore ecologico
g) valore storico, culturale, religioso";no
84;TRENTO;01/L588/TN/22;Trento;Vallarsa;Pruste - Bait del Nebbia;45° 44' 36,01'';11° 09' 02,13'';1280;no;Sorbus aucuparia L.;Sorbo degli uccellatori;171;12,0;f) pregio paesaggistico;no
85;TRENTO;02/L588/TN/22;Trento;Vallarsa;Pruste - Bait del Nebbia;45° 44' 36,11'';11° 09' 01,6'';1280;no;Fraxinus excelsior L.;Frassino maggiore;276;17,5;"a) eta` e/o dimensioni
f) pregio paesaggistico";no
86;TRENTO;01/M362/TN/22;Trento;Vallelaghi;Canal;46° 05' 55,46'';10° 59' 28,09'';1280;no;Fagus sylvatica L.;Faggio;443;28,0;"a) eta` e/o dimensioni
g) valore storico, culturale, religioso";no
87;TRENTO;03/L769/TN/22;Trento;Vermiglio;Palon di Verniana;46° 17' 59,02'';10° 38' 44,59'';2018;no;Larix decidua Mill.;Larice;490;30,0;"a) eta` e/o dimensioni
b) forma e portamento
c) valore ecologico";no
88;TRENTO;04/L769/TN/22;Trento;Vermiglio;Pra' Pero;46° 18' 41,03'';10° 40' 38,08'';2100;no;Insieme omogeneo di Larix decidua Mill.;Larice;"365 (med)
404 (max)";"18,5 (med)
23,0 (max)";"a) eta` e/o dimensioni
b) forma e portamento
c) valore ecologico
f) pregio paesaggistico
g) valore storico, culturale, religioso";no
89;TRENTO;01/L886/TN/22;Trento;Vignola-Falesina;Maso Agnellini;46° 04' 19,1'';11° 16' 13,72'';700;no;Castanea sativa Mill.;Castagno;744;20,0;"a) eta` e/o dimensioni
c) valore ecologico";no
90;TRENTO;02/L886/TN/22;Trento;Vignola-Falesina;La Mola;46° 04' 12,57'';11° 16' 15,78'';810;no;Tilia cordata Mill.;Tiglio selvatico;416;35,0;"a) eta` e/o dimensioni
g) valore storico, culturale, religioso";no
91;TRENTO;01/L957/TN/22;Trento;Villa Lagarina;Bellaria;45° 57' 26,21'';11° 01' 58,25'';899;no;Fagus sylvatica L.;Faggio;521;23,0;"a) eta` e/o dimensioni
c) valore ecologico
f) pregio paesaggistico";no
92;TRENTO;02/L957/TN/22;Trento;Villa Lagarina;Bellaria;45° 57' 33,78'';11° 02' 18,93'';878;no;Fagus sylvatica L.;Faggio;505;30,0;"a) eta` e/o dimensioni
f) pregio paesaggistico";no
93;TRENTO;03/L957/TN/22;Trento;Villa Lagarina;Monte Zanetto;45° 55' 55,84'';10° 59' 58,31'';1085;no;Tilia cordata Mill.;Tiglio selvatico;500;24,0;"a) eta` e/o dimensioni
f) pregio paesaggistico";no
94;TRENTO;07/L957/TN/22;Trento;Villa Lagarina;Marcoiano;45° 56' 08,8'';11° 00' 43,95'';815;no;Tilia cordata Mill.;Tiglio selvatico;540;27,5;"a) eta` e/o dimensioni
c) valore ecologico
f) pregio paesaggistico";no
95;TRENTO;08/L957/TN/22;Trento;Villa Lagarina;Prà dell'Albi;45° 56' 58,16'';11° 01' 52,03'';955;no;Tilia cordata Mill.;Tiglio selvatico;543;30,5;"a) eta` e/o dimensioni
c) valore ecologico
f) pregio paesaggistico";no
96;TRENTO;01/M431/TN/22;Trento;Ville di Fiemme;Doss;46° 18' 45,11'';11° 25' 18'';1438;no;Larix decidua Mill.;Larice;354;"
35,5";"a) eta` e/o dimensioni
g) valore storico, culturale, religioso";no
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
